"fnessays";"content"
"data1_00_005.txt";"private String nachname, Bzw. private boolean angemeldet"
"data1_00_007.txt";"Dient dazu, dass Variablen und Methoden nur innerhalb der Klasse in der sie definiert wurden aufgerufen werden können. Befehl: private"
"data1_00_009.txt";"Private: nur innerhalb der kann auf die Variablen zugegriffen werden Public: auch von außerhalb der Klasse kann auf die Variablen zugegriffen werden"
"data1_00_014.txt";"mit private wird ausgesagt, dass andere Klassen nicht mehr auf diesen String bzw. boolean zugreifen können"
"data1_00_021.txt";"da die klasse student eine ""Private"" Klasse ist kann man sie nur innerhalb der Klasse aufrufen, und ist damit für anderen klassen sozusagen ""unsichtbar"" die ""Nachname"" ist private und für andere Klassen unsichtbar die ""angemeldet"" ist private und booleen    ob ein Student angemeldet ist oder nicht kann man nur dann sehen wenn man den Zugriff auf keine Klasse hat  "
"data1_00_027.txt";"Durch die Deklarierung der Variablen ""nachname"" + ""angemeldet"" ist der Zugriff eingeschränkt. Auf diese Variablen kann nur aus der Klasse zugegriffen werden in der die Variablen erstellt worden sind."
"data1_00_029.txt";"private string nachname; erlaubt ein Eingriff nur im gleichen Klasse private boolean angemeldet; im gleichen Klasse zugriff möglich public void print(); alle andere Klassen können auf diese Methode aufgreifen (keine beschränkte) verschiedene Package, vorsehen Klasse string vorname nur im gleichen Package"
"data1_00_035.txt";"Wenn ich die Methode ist angemeldet () und getName () mit private definiere können diese von innerhalb dieser klasse angesprochen werden und sind damit nach aussen nicht sichtbar. Wenn ich nicht will, daß man meinem Code zu leicht nachvollziehen kann verstecke ich Teile davon."
"data1_00_038.txt";"Durch private kann nur auf Variable und Methoden dieser Klasse von innerhalb eben dieser zugegriffen werden. Eine andere Klasse kann nicht auf die Variablen Nachname und angemeldet zugreifen."
"data1_00_045.txt";"Die Instanz der Klasse wird hinter der Methode versteckt, d.h. es kann nur mittels der Methode auf die Instanzen zurückgegriffen werden, aufgerufen werden. z.B. Student Josef: new Student () 	josef.matrNr=0050863"
"data1_00_055.txt";"class test 	private void method {}   Diese Methode ist durch das Schlüsselwort privat nur in der Klasse test sichtbar jedoch kann man über eine Methode darauf zugreifen."
